VIN,Year,Make,Model,StockNumber,DateReceived,DateCompleted,Status,MechanicalEstimate,MechanicalActual,BodyWorkEstimate,BodyWorkActual,DetailingEstimate,DetailingActual,TiresEstimate,TiresActual,OtherEstimate,OtherActual,TotalEstimate,TotalActual,Variance
1HGBH41JXMN109186,2021,Honda,Accord,A2401,2024-07-15,2024-07-22,Completed,450,525,0,0,175,150,0,0,100,85,725,760,-35
5YJSA1E14HF123456,2020,Tesla,Model S,T2402,2024-07-18,2024-08-05,Completed,1200,1450,2500,2850,200,200,0,0,250,275,4150,4775,-625
1FTFW1ET5DFC12345,2019,Ford,F-150,F2403,2024-07-20,2024-07-28,Completed,800,750,1200,1100,225,225,600,600,150,125,2975,2800,175
WBAJA5C54JWW12345,2022,BMW,3 Series,B2404,2024-07-22,2024-08-12,Completed,950,1250,1800,2100,250,250,0,0,300,450,3300,4050,-750
1G1ZD5ST8JF123456,2018,Chevrolet,Malibu,C2405,2024-07-25,2024-08-01,Completed,650,600,800,750,150,150,400,400,75,50,2075,1950,125
2T1BURHE0JC123456,2020,Toyota,Corolla,T2406,2024-08-01,2024-08-08,Completed,350,425,0,0,175,175,0,0,50,65,575,665,-90
3VWD17AJ9EM123456,2021,Volkswagen,Jetta,V2407,2024-08-03,2024-08-15,Completed,500,575,600,850,200,200,0,0,100,125,1400,1750,-350
5NPD84LF2KH123456,2019,Hyundai,Elantra,H2408,2024-08-05,2024-08-10,Completed,400,350,0,0,150,150,0,0,75,50,625,550,75
WMWXP7C51JWW12345,2022,Mini,Cooper,M2409,2024-08-08,2024-08-20,Completed,850,1050,1500,1650,225,225,0,0,200,250,2775,3175,-400
JM1DKFB76K1234567,2019,Mazda,CX-5,M2410,2024-08-10,2024-08-18,Completed,600,650,900,800,200,200,0,0,125,150,1825,1800,25
1C4RJFAG9KC123456,2020,Jeep,Grand Cherokee,J2411,2024-08-12,2024-08-25,Completed,1100,1200,2000,2400,250,250,800,800,200,275,4350,4925,-575
KL4MMEY18JB123456,2018,Buick,Encore,B2412,2024-08-15,2024-08-22,Completed,550,475,400,350,150,150,0,0,100,75,1200,1050,150
5YFBURHE9HP123456,2021,Toyota,Camry,T2413,2024-08-18,2024-08-26,Completed,400,450,0,0,200,200,0,0,100,125,700,775,-75
1FA6P8TH5J5123456,2018,Ford,Mustang,F2414,2024-08-20,2024-09-05,Completed,1500,1850,3000,3500,300,300,600,650,250,400,5650,6700,-1050
19UUB2F38JA123456,2017,Acura,TLX,A2415,2024-08-22,2024-08-30,Completed,700,650,1200,1100,200,200,0,0,150,125,2250,2075,175
SALGS2SE8HA123456,2020,Land Rover,Range Rover Evoque,L2416,2024-08-25,2024-09-10,Completed,1800,2100,2500,2800,300,300,0,0,400,550,5000,5750,-750
3CZRU6H30JM123456,2018,Honda,Fit,H2417,2024-08-28,2024-09-02,Completed,300,275,0,0,125,125,0,0,50,40,475,440,35
2C4RC1BG1KR123456,2019,Chrysler,Pacifica,C2418,2024-09-01,2024-09-12,Completed,950,1100,1500,1700,225,225,600,600,175,225,3450,3850,-400
1N4AL3AP8JC123456,2021,Nissan,Altima,N2419,2024-09-03,2024-09-10,Completed,450,425,0,0,175,175,0,0,75,85,700,685,15
WA1ANAFY8J2123456,2018,Audi,Q5,A2420,2024-09-05,2024-09-18,Completed,1200,1400,2200,2500,275,275,0,0,325,450,4000,4625,-625