VIN,Year,Make,Model,Trim,Mileage,Color,PurchasePrice,ListPrice,PurchaseDate,ListDate,Status
1HGBH41JXMN109186,2021,Honda,Accord,EX-L,32450,Silver,22500,26995,2024-01-15,2024-02-01,Available
5YJSA1E14HF123456,2020,Tesla,Model S,Long Range,28900,White,45000,52900,2024-02-10,2024-02-25,Available
1FTFW1ET5DFC12345,2019,Ford,F-150,Lariat,45600,Black,32000,38500,2024-01-20,2024-02-05,Sold
WBAJA5C54JWW12345,2022,BMW,3 Series,330i,15200,Blue,38500,44995,2024-02-15,2024-03-01,Available
1G1ZD5ST8JF123456,2018,Chevrolet,Malibu,LT,62300,Red,15000,18995,2023-12-10,2024-01-05,Sold
2T1BURHE0JC123456,2020,Toyota,Corolla,SE,38900,Gray,18500,22495,2024-01-25,2024-02-10,Available
3VWD17AJ9EM123456,2021,Volkswagen,Jetta,SEL,25100,White,19800,24500,2024-02-01,2024-02-20,Available
5NPD84LF2KH123456,2019,Hyundai,Elantra,Limited,51200,Black,14500,17995,2024-01-05,2024-01-22,Sold
WMWXP7C51JWW12345,2022,Mini,Cooper,S Hardtop,12300,Green,26000,31995,2024-02-20,2024-03-05,Available
JM1DKFB76K1234567,2019,Mazda,CX-5,Touring,48700,Blue,21000,25995,2024-01-12,2024-01-30,Available
1C4RJFAG9KC123456,2020,Jeep,Grand Cherokee,Limited,39500,White,31000,36995,2024-02-05,2024-02-22,Available
KL4MMEY18JB123456,2018,Buick,Encore,Essence,58900,Silver,13500,16995,2023-12-20,2024-01-10,Sold
5YFBURHE9HP123456,2021,Toyota,Camry,XSE,29400,Red,24500,29495,2024-01-28,2024-02-15,Available
1FA6P8TH5J5123456,2018,Ford,Mustang,GT Premium,35200,Yellow,33000,39995,2024-02-08,2024-02-28,Available
19UUB2F38JA123456,2017,Acura,TLX,Technology,71500,Black,18000,22995,2023-11-30,2024-01-08,Sold
SALGS2SE8HA123456,2020,Land Rover,Range Rover Evoque,SE,31200,Gray,35500,42995,2024-02-12,2024-03-02,Available
3CZRU6H30JM123456,2018,Honda,Fit,EX,44800,Blue,12000,15495,2024-01-08,2024-01-25,Available
2C4RC1BG1KR123456,2019,Chrysler,Pacifica,Touring L,52100,Silver,23500,28995,2024-01-18,2024-02-08,Available
1N4AL3AP8JC123456,2021,Nissan,Altima,SV,26700,White,20500,24995,2024-02-03,2024-02-18,Available
WA1ANAFY8J2123456,2018,Audi,Q5,Premium Plus,47300,Black,29000,34995,2024-01-22,2024-02-12,Sold